臺灣 Taiwan,#genre#
NatGeo_Wild HD,http://193.24.209.91/Smart.php?id=natgeowild_twn
Natgeo_HD,http://193.24.209.91/Smart.php?id=natgeohd_twn
TLC,http://193.24.209.91/Smart.php?id=Tlc
TLC Asia,http://193.24.209.91/Smart.php?id=tlc_twn
亞洲美食,http://193.24.209.91/Smart.php?id=afc_twn
美食星球,http://193.24.209.91/Smart.php?id=foodplanet_twn
新聞 News,#genre#
ABC News,http://193.24.209.91/Smart.php?id=abcnews_glo
Al-Jazeera,http://193.24.209.91/Smart.php?id=aljazeera_twn
BBC World News,http://193.24.209.91/Smart.php?id=Bbcnews
BBC World News,http://193.24.209.91/Smart.php?id=bbcnews_twn
Bloomberg News,http://193.24.209.91/Smart.php?id=bloomberg_twn
CBS HD,http://193.24.209.91/Smart.php?id=cbshd_glo
CBSN HD,http://193.24.209.91/Smart.php?id=cbsn_glo
CGTN,http://193.24.209.91/Smart.php?id=CGTN
CNA,http://193.24.209.91/Smart.php?id=cna
CNBC,http://193.24.209.91/Smart.php?id=cnbc_twn
CNN International,http://193.24.209.91/Smart.php?id=Cnn
